Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6460$nba.g.2374075,Killian,Tillie,nba.p.6460$nba.g.2374075 - Killian Tillie,C,MEM,GS,MEM@GS,10:00PM EDT,10,6.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6552$nba.g.2374075,Ziaire,Williams,nba.p.6552$nba.g.2374075 - Ziaire Williams,SF,MEM,GS,MEM@GS,10:00PM EDT,10,7.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6572$nba.g.2374075,Santi,Aldama,nba.p.6572$nba.g.2374075 - Santi Aldama,PF,MEM,GS,MEM@GS,10:00PM EDT,10,9.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6629$nba.g.2374075,Yves,Pons,nba.p.6629$nba.g.2374075 - Yves Pons,SF,MEM,GS,MEM@GS,10:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.3826$nba.g.2374075,Andre,Iguodala,nba.p.3826$nba.g.2374075 - Andre Iguodala,PF,GS,MEM,MEM@GS,10:00PM EDT,10,18.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4612$nba.g.2374075,Stephen,Curry,nba.p.4612$nba.g.2374075 - Stephen Curry,PG,GS,MEM,MEM@GS,10:00PM EDT,48,50.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4766$nba.g.2374075,Nemanja,Bjelica,nba.p.4766$nba.g.2374075 - Nemanja Bjelica,PF,GS,MEM,MEM@GS,10:00PM EDT,10,15.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4892$nba.g.2374075,Klay,Thompson,nba.p.4892$nba.g.2374075 - Klay Thompson,SG,GS,MEM,MEM@GS,10:00PM EDT,10,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5069$nba.g.2374075,Draymond,Green,nba.p.5069$nba.g.2374075 - Draymond Green,PF,GS,MEM,MEM@GS,10:00PM EDT,28,30.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5154$nba.g.2374075,Otto,Porter Jr.,nba.p.5154$nba.g.2374075 - Otto Porter Jr.,PF,GS,MEM,MEM@GS,10:00PM EDT,10,18.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5292$nba.g.2374075,Andrew,Wiggins,nba.p.5292$nba.g.2374075 - Andrew Wiggins,SG,GS,MEM,MEM@GS,10:00PM EDT,26,29.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5490$nba.g.2374075,Kevon,Looney,nba.p.5490$nba.g.2374075 - Kevon Looney,C,GS,MEM,MEM@GS,10:00PM EDT,10,17.3," "," "
